,Bottle,Liquid,Tassels,Logo,Hoody,Outline,Background,Teeth,Eyes,Headgear,Mask,Rarity score,Token Id
6228,Hopium Crimson,Orange Soda,Black,Biohazard Black,Bolts Aquamarine,Acid Crimson,Strobes Violet,None,Laser Eyes,None,None,47.37544842277377,6228
6229,Hopium Toxic,Limeade,Black,69 Aquamarine,Poly Cantaloupe,Crimson,Fuzz Aquamarine,None,None,None,None,23.629382590456316,6229
6230,Paper Bag Aquamarine,Sauvignon Blanc,Black,None,Light Stripes Cantaloupe,Acid Aquamarine,Stripes Toxic,None,None,None,None,16.54343844117717,6230
6231,Clear,Purple Grape Juice,Black,None,Light Stripes Violet,Cantaloupe,Stripes Toxic,None,None,None,None,7.270121762830415,6231
6232,Paper Bag Aquamarine,Toxic Waste,White,Radioactive Crimson,Plain White,Violet,Strobes Violet,None,None,None,None,23.299530727654787,6232
6233,Hopium Cantaloupe,Toxic Waste,Tied Black,Biohazard Aquamarine,Dark Stripes Cantaloupe,Acid Cantaloupe,Strobes Violet,None,X Toxic,None,None,56.50153502202924,6233
6234,Caution Violet,Lemonade,Tied White,None,Plain Black,Toxic,Strobes Aquamarine,None,None,Earphones Cantaloupe,None,49.50533091210965,6234
6235,Clear,Sparkling Water,Black,69 Crimson,Light Stripes Violet,Spikes Cantaloupe,Fuzz Crimson,None,None,None,None,16.697558459304947,6235
6236,Flammable Crimson,Orange Soda,Black,Caution Violet,Light Stripes Aquamarine,Spikes Crimson,Hatch Rainbow,None,None,None,None,25.665105024888422,6236
6237,Clear,Rosé,White,gm Violet,Light Hatch Crimson,Barbed Hash,Accents Toxic,None,None,None,None,19.436234592635437,6237
6238,Biohazard Violet,Rosé,Black,Radioactive Cantaloupe,Dark Stripes Cantaloupe,Violet,Black,None,None,None,None,17.257183424470764,6238
6239,WAGMI Aquamarine,Limeade,White,Biohazard Crimson,Plain Toxic,Violet,Stripes Toxic,None,Sun Eyes,None,None,44.0990221864449,6239
6240,Clear,Sauvignon Blanc,Tied White,Radioactive Crimson,Robotic Crimson,Spikes Cantaloupe,Bolts Cantaloupe,None,None,None,None,26.708536185096822,6240
6241,Hopium Aquamarine,Sauvignon Blanc,Black,gm Violet,Plain Toxic,Acid Toxic,Black,None,None,None,None,16.07033749493428,6241
6242,Clear,Rosé,White,Flammable Crimson,Dark Hatch Cantaloupe,Acid Violet,Stripes Aquamarine,None,None,None,None,18.51970874254649,6242
6243,Flammable Toxic,Sparkling Water,Tied Black,None,Bolts Aquamarine,Glow White,Strobes Crimson,None,None,None,None,25.497364625958785,6243
6244,Clear,Toxic Waste,Tied Black,High Voltage Violet,Light Hatch Toxic,Aquamarine,Bolts Violet,None,None,None,None,26.011040820184427,6244
6245,Clear,Cola,Tied White,Flammable Cantaloupe,Violet Dreams,Cantaloupe,Stripes Violet,None,None,None,None,24.305130672082615,6245
6246,Radioactive Aquamarine,Sparkling Water,Tied Black,Radioactive Aquamarine,Bolts Aquamarine,Cantaloupe,Bolts Violet,None,None,None,Black N Yellow,59.090713289823725,6246
6247,Hopium Aquamarine,Toxic Waste,White,None,Plain Aquamarine,Cantaloupe,Stripes Violet,None,None,None,None,14.329204475991004,6247
6248,Radioactive Cantaloupe,Champagne,Black,Biohazard Toxic,Light Shoulders Violet,Cantaloupe,Black,None,X Aquamarine,None,None,38.473372541631086,6248
6249,Clear,Water,White,None,Bolts Aquamarine,Crimson,Bolts Cantaloupe,None,Rekt,None,None,30.76866937971539,6249
6250,Flammable Violet,Sparkling Water,White,Radioactive Crimson,Light Stripes Crimson,Spikes Aquamarine,Accents Aquamarine,None,None,None,None,23.799657340450008,6250
6251,Clear,Cabernet Sauvignon,White,gm Aquamarine,Iced,Glow Crimson,Stripes Cantaloupe,None,None,None,None,18.28991769729191,6251
6252,Caution Violet,Rose Champagne,Black,Caution Crimson,Light Stripes Cantaloupe,Spikes Crimson,Black,None,X Violet,None,None,39.60340269800845,6252
6253,Flammable Aquamarine,Water,White,High Voltage Crimson,Iced,Aquamarine,Black,None,X Cantaloupe,None,None,36.4079526790243,6253
6254,Paper Bag Aquamarine,Sparkling Water,Black,None,Poly Cantaloupe,Toxic,Grid Aquamarine,None,None,None,None,16.878683982774188,6254
6255,Biohazard Violet,Orange Soda,White,gm Crimson,Plain Black,Acid Cantaloupe,Black,None,X Cantaloupe,None,None,38.18680161662156,6255
