,Antenna,Hats,Faces,Heads,Body,Backgrounds,Rarity score,Token Id
2777,Lightning bolts,Beanie brown,Happy lashes,Blue,Astroquirkie comms,Blurple,9.199225308271172,2777
2778,Diamond,Ice cream,Infected,Pinkish,Big purple hoodie and chain,Just Green,59.48091223593172,2778
2779,Rainbow ring,Snakes,Proud,Qurikie bot MK 3,Yellow backpack,Purple,30.96934997263977,2779
2780,Double green,Yellow curls,Reptile,Qurikie bot MK 3,Quirkbot mk2,Dust,23.24481414143521,2780
2781,Pink 1,Blue surfer,What ,Orange,Green trash hoodie,Honey melon,6.179679240229522,2781
2782,Planets purple,Horns,Tongue out,Peach,Quirkbot mk1 5 ,The blues,22.823291673682938,2782
2783,Purple 2,Sideway cap blue green,Lazers,Pinkish,Purple komono,Honey melon,19.31177504460785,2783
2784,Orange 1,Archaeology hat,Mk1,Light purple,Leather jacket gold chain,Honey melon,10.3934570308101,2784
2785,Feather,Pink goo,Rainbow face,Pink,Explorer map,Neutral,34.12966575731211,2785
2786,Pink 1,Long brown,Mk1,Qurikie bot MK 3,Explorer,Simply pink,13.202319117357488,2786
2787,Lightning bolts,Pizza,Chuffed,Peach,Quirkbot mk2,Pinkish,15.449450926816608,2787
2788,Doughnuts,Long blonde,Happy lashes,Golden,White suit,Simply pink,39.95834083039752,2788
2789,Doughnuts,Antlers,Proud,Yellow,Blue camo puffa,Misty turquoise,29.424240509622933,2789
2790,Pierced,Pizza,Ooze eyes,Quirkiebot MK1 2 gold edition,Pirate garbs,Purple,48.52572493582891,2790
2791,Blue 2,Paper plane,Spooked,Orange,Explorer map,Honey melon,11.516749011940723,2791
2792,Overgrown,Paper plane,Dandy tash,Quirkiebot MK2,trash tee,The blues,26.194277367279806,2792
2793,Goo,Wizard hat,Emo,Blue,Pink camo parka,Purple with stars,37.07908684886013,2793
2794,Pierced,Thunder,Happy lashes,Another green,Red bandana adventurer ,Turquoise,4.073120458059322,2794
2795,Purple 2,Party hat,Blergh ,Orange,Space hoodie,Honey melon,6.109441880406017,2795
2796,Goo,Artic bobble ,VR world,Yellow,Blue tee with chain,Blurple,15.519983309349183,2796
2797,Feather,Party hat,Happy lashes,Qurikie bot MK 3,Ancient quirkie robes,Turquoise,9.059003450531716,2797
2798,Orange 1,Mad science,Goggles full,Quirkiebot MK2,Tan backpack,Honey melon,19.80363320516115,2798
2799,Lightning bolts,Purple curls,Nest beard,Another green,Space hoodie,Mist in the artic,27.31769579183712,2799
2800,Graff bubble,Pink surfer,Cutie,Yellow,Stoneage ,Turquoise,18.890716168712782,2800
2801,Feather,Lightning beanie,Lashes heart tattoo,Peach,Blue puffa,Blurple,22.050821203946533,2801
2802,Red 2,Blue surfer,Pink sunglasses,Quirk green,Astroquirkie comms,Neutral,16.64323315228545,2802
2803,Diamond rings,Sock monkey,Smile,Greeeen,Squiddie tee,Pinkish,30.75894695336799,2803
2804,Feather,Graffiti can,Buttons,Quirkiebot MK2,Yellow backpack,Honey melon,24.157745241488406,2804
2805,Gold ring,Pink clip,Bubblegum,Quirkiebot MK2,Pink hoodie,Pinkish,22.753096459849363,2805
2806,Lightning bolts,Paper plane,Water falls,Yellow,Bones tee,Honey melon,11.58728137342525,2806
2807,Pink 1,Watermelon helmet,Water falls,Blue,Casual jacket ,Misty green,18.539445087749645,2807
2808,Lightning bolts,Turtle fren,Bubblegum,Quirkie bot MK 1,Green backpack,Purple with stars,44.80376314616945,2808
2809,Double green,Shark fin,Just two eyes,Quirkie bot MK 1,Green backpack,Turquoise,20.295210424540024,2809
2810,Pink 1,Squiddie pink,Hmm,Pink,Yellow backpack,Pinkish,12.078465238286865,2810
2811,Purple 2,Pink bobble,Spooky relaxed,Quirkie bot MK 1,Pink raincoat,The blues,17.626738755525537,2811
2812,Planets purple,Blone surf hair,1 eye,Purple,Big purple hoodie and chain,Pale peach,27.668770170985567,2812
2813,Double green,Artic bobble ,Pink sunglasses,Blueer ,Pink back pack,The blues,12.710699781611865,2813
2814,Bones,Rabbit ears,Anxious,Another green,Squiddie tee,Dust,23.31481268619551,2814
2815,Pierced,Blue pink long,Emo,Greeeen,Bones tee,Pale peach,20.435699183625584,2815
2816,Purple 2,Archaeology hat,Zipped,Quirkie bot MK 1,Blue tee with chain,Neutral,23.03382111182536,2816
2817,Goo,Head band ,Spooked,Quirk green,Hawian shirt,Neutral,15.800764166632373,2817
2818,Bones,Blue bucket hat,Tongue out,Blue,Pink camo parka,Simply pink,20.014317189773642,2818
2819,Green beams,Pink bobble,Warpaint 3,Blueer ,Astroquirkie,Pale peach,32.584654617918105,2819
2820,Rainbow ring,Horns,Blergh ,Light purple,Green trash hoodie,Turquoise,18.469418452418893,2820
2821,Pink 1,Aviator ,1 eye,Yellow,Wool demim ,Mist in the artic,14.536744607455196,2821
2822,Graff bubble,Halo,Warpaint 2,Quirk green,Red bandana adventurer ,Simply pink,20.224959016702844,2822
2823,Goo,Long brown,3 eyes happy,Light purple,Blue skull tee,Misty turquoise,27.247416289531696,2823
2824,Fire,Ice cream,Smile,Quirkie bot MK 1,Green camo puffa,Misty pink,38.13250671228645,2824
2825,Goo,Mind blown,Focused,Light purple,Tan backpack,Turquoise,13.41293285683446,2825
2826,White 27,Wizard hat,Focused,Blue,Green backpack,Dust,22.682732668682306,2826
2827,Feather,Watermelon helmet,Spooky relaxed,Pink,Red bandana adventurer ,Misty green,36.37672733371885,2827
2828,Pierced 2,Pizza,1 eye,Quirk green,Yellow scarf jacket,Dust,19.171707727102003,2828
