,Eyes,Mouth,Hat,Clothes,Skin,Background,Rarity score,Token Id
228,Cyclops,Thinkin,Mohawk,Itchy Ass Sweater,White Pebble,Sunset,40.831065090795185,228
229,Standard,Lolly pop,Beanie,Skull Shirt,Mega Black,Candy,34.983304044315226,229
230,Cyclops,Wonky,Bucket Hat,Hawaiian Shirt,Blue,Sunset,39.91400724313878,230
231,Hippy,Woo,Beanie,Bone Tee,Light Green,Green,22.664846886202426,231
232,Curious,Eff,Doo Rag,White Tee,Red,Paint Splatter,35.34655321678276,232
233,Hippy,Sly Smile,Tie Head,Pancho,Red,Bubble Gum,36.93832172030871,233
234,Curious,Eff,Comb Over,Skull Shirt,2 Toned,Toxic,45.035136723378386,234
235,Tired Cat,Tongue Out,TP Roll,Hawaiian Shirt,Yellow,Candy,14.584946687686262,235
236,Dazy,Thinkin,Beanie,Biker Jacket,Cheeze,Ash,43.253263738609924,236
237,Twack,Woo,Paper Hat,White Tee,Pink,Deep Purple,48.1667199383233,237
238,Tired Cat,Eff,Gold Fish,Itchy Ass Sweater,Butter Milk,Candy,19.39479808848468,238
239,Standard,Bubble Gum,Headphones,80s Breaker,Blue,Sunset,40.26017205282217,239
240,Anxious,Tongue Out,Headphones,Hawaiian Shirt,Light Green,Grey,19.862027502880117,240
241,Standard,Buck Teeth,Sombrero,00_None,Grey,Pink,34.740993178311655,241
242,Super Happy,Hard L,TP Roll,Hawaiian Shirt,Yellow,Pink,31.48841629203983,242
243,Standard,Sad Face,Biker Hat,Pancho,Yellow,Bubble Gum,21.055796788643356,243
244,Cyclops,Woo,Gold Fish,Wet Suit,Disco,Grey,52.59581392135658,244
245,Curious,Woo,Beanie,Zebra Tee,White Pebble,Ash,24.152687052095352,245
246,Mad lips,Tongue Out,Doo Rag,White Tee,Mega Black,Sky,45.294784553272756,246
247,Super Happy,Thinkin,TP Roll,Nipple Piercing,White Pebble,Ash,34.152839297803524,247
248,Mad lips,Buck Teeth,Doo Rag,Buff Tee,2 Toned,Sky,55.01788972957028,248
249,Buggy,Brace Face,Paper Hat,Hawaiian Shirt,Butter Milk,Paint Splatter,43.443492790698045,249
250,Standard,Eff,Comb Over,White Tee Ripped,Butter Milk,Tie Dye,19.775432667032973,250
251,Focus,Woo,Hipster Hat,Puffycoat,Dark Green,Ash,51.33276946194923,251
252,Super Happy,Eff,Pot Head,Zebra Tee,Lava,Tie Dye Night,43.06289454561721,252
253,Anxious,Bubble Gum,Doo Doo Brain,Wet Suit,Butter Milk,Candy,24.533363153618502,253
254,Super Happy,WhaWha,Pot Head,Biker Jacket,Grey,Toxic,50.19098164976394,254
255,Anxious,Tongue Out,Doo Doo Brain,Biker Jacket,Yellow,Bubble Gum,26.695964138057654,255
256,Hippy,Sad Face,Beanie,Itchy Ass Sweater,Disco,Sunset,34.67181661913941,256
257,Hippy,Thinkin,Sweat Band,White Tee Ripped,Butter Milk,Grey,18.65083994620511,257
258,Cyclops,Basic Smile,Gold Fish,Life Vest,Light Green,Tie Dye,36.73074532800448,258
259,Focus,Woo,Hipster Hat,Trashcan,2 Toned,Tie Dye Night,64.84483846592236,259
260,Hippy,Buck Teeth,Tin Foil Hat,Banana Shirt,Light Green,Green,31.107826697418673,260
261,Dazy,Tongue Out,Bucket Hat,Sweater Weather,Butter Milk,Pink,21.349872862122517,261
262,Zapped,Thinkin,Pants,Pimp Coat,Mega Black,Paint Splatter,50.70994166441734,262
263,3 Eyes,Sad Face,Mohawk,Wet Suit,Zebra,Blue,64.7064611228329,263
264,Anxious,Woo,TP Roll,420 Tee,Yellow,Toxic,28.875940149947,264
265,Tired Cat,Bubble Gum,Sombrero,Sweater Weather,Grey,Grey,38.616517236537824,265
266,Curious,Dog Tongue,Bored Cap,Pancho,Yellow,Deep Purple,45.69270937669806,266
267,Anxious,Buck Teeth,Shark Dome,Zebra Tee,Butter Milk,Ash,19.377599541553888,267
268,Cave Duck,Caveduck,Beanie,ETH Tee,Light Green,Candy,17.509057325064045,268
269,Standard,Buck Teeth,Sweat Band,ETH Tee,Yellow,Yellow Orange,24.862076813343407,269
270,Focus,Wonky,Hair,White Tee Ripped,Butter Milk,Sky,24.879318612956773,270
