,Legendary,Origin,Augmint,Advocate,Hat,Eyes,Neck,Body,Background,Mouth,Nosering,Special,Spikes,Skin,origin,Rarity score,Token Id
5733,None,Baby,Business Attire,None,None,Blushy Sleepy,Green Bowtie,None,Mint,None,None,None,Purple,Sand,None,18.320880206286137,5733
5734,None,Baby,None,None,None,Tired,None,None,Pink City,Snaggle Tooth,None,None,Red,Black,None,27.975116712074882,5734
5735,None,Baby,None,None,Streetwear 5 Panel,Blushy Sleepy,None,None,Neon,None,Bronze Ring,None,Black,Black,None,50.2707958775935,5735
5736,None,Baby,Business Attire,None,None,Looking Up,Trendy Obg Hoodie,None,Olive,None,None,None,Gray,Brown,None,12.008341354042916,5736
5737,None,Baby,Business Attire,None,None,Happy,Squat Hoodie,None,Blue,None,None,None,Gray,Brown,None,15.704330794267598,5737
5738,None,Baby,None,None,Archwizard Hat,Annoyed,None,None,Olive,None,None,None,Purple,Purple,None,21.386595288710115,5738
5739,None,Baby,None,None,None,Looking Forward,Silver Chain,None,Olive,None,None,None,Red,Brown,None,11.714899649527236,5739
5740,None,Baby,None,None,None,Thug Life,Streetwear Hoodie,None,Orange,Cigarette,None,None,Black,Purple,None,34.67671035939976,5740
5741,None,Baby,None,None,None,Thug Life,Kaiju Chain Gold,None,Green,None,Silver Ring,None,Brown,Brown,None,39.06348336003494,5741
5742,None,Baby,None,None,None,Looking Up,Gold Chain,None,Neon,Snaggle Tooth,None,None,Gray,Green,None,32.37356052148995,5742
5743,None,Baby,None,None,None,Angered,None,None,Pink,None,None,None,Sand,Sand,None,5.532753427864464,5743
5744,None,Baby,None,None,Ninja Headband,Black Thick Rims,Silver Spike Collar,None,Teal,Cigarette,None,None,Burgundy,Gray,None,47.67767212472523,5744
5745,None,Baby,None,None,None,Black Clubmasterz,None,None,Sky Blue,E Cig,None,None,Sand,Brown,None,23.146313685223742,5745
5746,None,Baby,None,None,Burgundy Trucker Hat,Looking Forward,None,None,Red,None,None,None,Burgundy,Brown,None,18.159408477308514,5746
5747,None,Baby,None,None,None,White Thick Rims,Trendy Pbt Hoodie,None,Purple,None,None,None,Green,Burgundy,None,16.953569323404604,5747
5748,None,Baby,None,None,None,Black Specs,Blue Bowtie,None,Sand,None,None,None,Black,Black,None,17.072283109183335,5748
5749,None,Baby,Business Attire,None,Doom,Happy,Gold Chain,None,Lime,None,None,None,Black,Gray,None,32.71005333832166,5749
5750,None,Baby,None,None,None,Tired,None,None,Mint,None,None,None,Red,Green,None,8.090159666787939,5750
5751,None,Baby,None,None,Black Visor,Gold Clubmasterz,None,None,Mint,None,None,None,Burgundy,Gray,None,18.891493516529852,5751
5752,None,Baby,Business Attire,None,Trendy Gpt Bucket Hat,Looking Up,Orange Hoodie,None,Green,None,None,None,Sand,Brown,None,27.140937748690693,5752
5753,None,Baby,None,None,None,Blushy Sleepy,None,None,Green,None,None,None,Green,Gray,None,5.157031657439508,5753
5754,None,Baby,Business Attire,None,Birthday Hat,Thug Life,Brown Suit,None,Purple,None,None,None,Gray,Brown,None,29.87625237370604,5754
5755,None,Baby,None,None,None,Concern,Streetwear Hoodie,None,Green,None,None,None,Sand,Purple,None,15.40519186232084,5755
5756,None,Baby,Business Attire,None,None,Angered,Streetwear Hoodie,None,Gray,Cigar,None,None,Brown,Brown,None,36.53232431034323,5756
5757,None,Baby,None,None,Black Beanie,Gold Clubmasterz,Gold Spike Collar,None,Green,None,None,None,Blue,Red,None,30.953223388872615,5757
5758,None,Baby,Business Attire,None,Black Beanie,Looking Up,None,None,Olive,None,None,None,Black,Brown,None,18.49280533790882,5758
5759,None,Baby,None,None,Green Visor,Mutant Visor,Gold Toga,None,Mint,None,None,None,Sand,Sand,None,29.05417227305668,5759
5760,None,Baby,Business Attire,None,None,Laser Beam,Squat Hoodie,None,Olive,None,None,None,Blue,Red,None,19.623620372206794,5760
5761,None,Baby,Pumpkin Head Cute,None,None,Looking Up,None,None,Pink,None,None,None,Purple,Black,None,21.75088814510943,5761
5762,None,Baby,Business Attire,None,Shadow Wizard Hat,Looking Up,Vegas Shirt,None,Green,None,None,None,Gray,Black,None,29.087722665037763,5762
5763,None,Baby,None,None,Blue Bandana,Tired,None,None,Pink,None,None,None,Gray,Brown,None,19.623244143996466,5763
