,Beak,Background,Feathers,Body,Outerwear,Eyes,Headwear,Eyewear,Rarity score,Token Id
283,Long,Blue,Black,Tabby,None,Open,Flower,None,31.23984554381764,283
284,Short,Purple,Red,Crescent,None,Angry,Witch's Hat,None,14.094257926147987,284
285,Short,Green,Pink,Crescent,None,Relaxed,Wizard's Hat,None,18.972049728553984,285
286,Small,Purple,Black,Stark,None,Open,Bow,None,20.85557248009185,286
287,Short,Purple,Red,Tranquil,None,Adorable,Rubber Duck,Monocle,56.065052882236046,287
288,Small,Purple,Red,Tabby,None,None,None,Rose-Colored Glasses,41.626916672532005,288
289,Short,Blue,Green,Crescent,None,Open,Halo,None,15.453079976950473,289
290,Short,Yellow,White,Professor,None,None,None,Jobs Glasses,47.356190216223226,290
291,Small,Blue,Gray,Guardian,Hoodie Down,Angry,Flower,None,55.2239280812947,291
292,Short,Yellow,Blue,Emperor,None,None,None,Gazelles,47.640160179575055,292
293,Long,Green,Brown,Tranquil,Jean Jacket,Angry,Tiny Crown,None,62.71037602707812,293
294,Short,Purple,White,Stark,None,Adorable,Captain's Cap,Monocle,57.5601653939244,294
295,Short,Purple,Green,Tabby,None,Relaxed,None,None,18.095011638555057,295
296,Short,Gray,Blue,Crescent,Hero's Tunic,Relaxed,Hero's Cap,None,46.92107767805028,296
297,Short,Blue,Purple,Tabby,Jean Jacket,Open,Fire,None,50.45077644713805,297
298,Short,Yellow,Red,Guardian,None,Diamond,Karate Band,None,28.166782429522808,298
299,Long,Pink,Blue,Stark,None,Angry,Aviator's Cap,None,33.69474651490011,299
300,Small,Pink,Red,Stark,None,Angry,Halo,Monocle,50.46522162146394,300
301,Long,Green,Green,Crescent,None,Relaxed,Crescent Talisman,None,28.346482153744994,301
302,Small,Purple,Black,Stark,None,Open,None,None,10.582465637434884,302
303,Small,Gray,Red,Guardian,None,None,None,Sunglasses,42.99275262244111,303
304,Small,Green,Red,Crescent,None,None,None,Sunglasses,32.716880445361404,304
305,Long,Purple,Brown,Crescent,None,Angry,Captain's Cap,None,24.60101257440006,305
306,Small,Yellow,Brown,Sage,None,Discerning,Captain's Cap,None,27.523343996614297,306
307,Small,Green,Gray,Professor,None,Relaxed,None,None,16.905220703492855,307
308,Long,Pink,Red,Emperor,None,Side-eye,None,None,25.567913447188385,308
309,Short,Yellow,Red,Tabby,None,Relaxed,Skully,Monocle,51.374549539137085,309
310,Small,Green,Green,Professor,None,None,None,Gazelles,48.477570249996894,310
