,Body,Outerwear,Eyes,Species,Shoes,Background,Head,Attitude,Headwear,Eyewear,Underfoot,Rarity score,Token Id
5445,Brown,None,Divit,Rabbit,None,Blue,Flesh,Sejant,Bandana,None,None,10.481660937583332,5445
5446,Red,Gold Grill,Side-eye,Mouse,Socks (Pellet),Yellow,Creep,Sejant,Lincoln,None,None,47.16141637305474,5446
5447,White,None,Void,Rabbit,None,Purple,Flesh,Crustant,Moon Hat,None,None,12.247469439160026,5447
5448,Brown,None,Discerning,Rat,None,Green,Skull,Sejant,Grail,None,None,11.073203943561126,5448
5449,Rusty,Bomber Jacket,None,Bug,None,Grey,None,Passant,None,None,None,32.21398181940729,5449
5450,Brown,None,None,Fish,None,Grey,Creep,Sejant,None,Patch,None,25.037915140519896,5450
5451,Red,None,Void,Mouse,None,Purple,Creep,Crustant,Queen's Crown,None,None,10.630315729932837,5451
5452,Blue,Punk Jacket,Relaxed,Mouse,Socks (Pellet),Purple,Creep,Passant,None,None,None,41.17233001544683,5452
5453,Brown,None,Divit,Rabbit,Socks (Dirty),Green,Creep,Rampant,Halo,None,None,24.26553631160281,5453
5454,Black,None,Discerning,Rat,Hightops (White),Blue,Creep,Statant,Croissant,None,None,26.111372738071925,5454
5455,Brown,None,Void,Mouse,Hightops (White),Yellow,Skull,Rampant,Halo,None,None,25.17509632402628,5455
5456,Ninja,None,Suspicious,Toad ,Socks (Pellet),Yellow,None,Crustant,Bucket Hat,None,Worm,61.593800432083526,5456
5457,Grey,None,Angry,Rat,Slipons (White),Yellow,Flesh,Crustant,Pirate,None,None,25.992492670931792,5457
5458,Brown,None,Relaxed,Cat,None,Pink,Flesh,Rampant,None,None,None,6.840240092780311,5458
5459,Ninja,None,Eclipse,Toad ,Socks (Dirty),Blue,None,Passant,Bucket Hat,None,None,33.20628553307067,5459
5460,Red,Hoodie,Suspicious,Toad ,None,Green,None,Crustant,None,None,None,29.389285715272678,5460
5461,Black,Bomber Jacket,Discerning,Toad,None,Blue,Creep,Sejant,Witch's Hat,None,None,39.008563104541274,5461
5462,Black,Space Helmet,Eclipse,Toad ,None,Grey,None,Crustant,None,None,None,31.339216095349233,5462
5463,Bugged Mouse,None,None,Bug,None,Glitch Red,None,Crustant,None,None,None,13.96328458002894,5463
5464,Brown,None,Relaxed,Rat,Hightops (Red),Grey,Skull,Statant,Stealth Headband,None,None,25.956870391812142,5464
5465,Brown,None,None,Fish,Hightops (Blue),Blue,Creep,Sejant,None,Noggles,None,39.168869594433346,5465
5466,Red,None,Side-eye,Rabbit,Hightops (White),Pink-ish,Flesh,Crustant,Rubber Duck,None,None,26.1470735067433,5466
5467,Skeleton,None,None,Cat,None,Green,Flesh,Passant,Raincloud,Visor (Heat),None,36.330380089705336,5467
5468,Grey,None,Sleepy,Rabbit,Hightops (White),Yellow,Skull,Crustant,Raincloud,None,None,26.322517251067147,5468
5469,White,None,Relaxed,Bug,None,Green,Skull,Rampant,Stealth Headband,None,None,15.08636211234429,5469
5470,Red,None,Sleepy,Rabbit,Socks (Dirty),Yellow,Creep,Crustant,Tiara,None,None,25.505119118621263,5470
5471,Purple,None,Twinkle,Rat,None,Pink,Skull,Rampant,Grail,None,None,17.654777277532627,5471
5472,Purple,None,Side-eye,Rat,Hightops (Blue),Pink,Flesh,Rampant,Skully,None,None,28.486445002324523,5472
5473,Red,None,None,Toad ,None,Grey,None,Passant,Beanie (Green),Spectacles of Judgement,None,34.9777127359619,5473
5474,Red,None,Eclipse,Toad ,Hightops (Green),Blue,None,Crustant,Bandana,None,None,29.110325679268723,5474
5475,Ninja,None,Discerning,Mutant Toad,Slipons (White),Yellow,Fish,Sejant,Fire,None,None,37.781377019056606,5475
5476,Red,None,Discerning,Cat,Slipons (White),Grey,Skull,Passant,Mohawk (Pink),None,None,24.97595076777142,5476
5477,White,None,Side-eye,Cat,None,Blue,Flesh,Statant,Tiara,None,None,13.567240123963693,5477
5478,Green,None,Eclipse,Toad ,None,Pink,None,Rampant,None,None,None,11.331688682816207,5478
5479,Green,Jean Jacket,Divit,Mutant Toad,Socks (Dirty),Pink,Lizard,Statant,Witch's Hat,None,None,63.490871404032966,5479
5480,Green,None,None,Cat,None,Yellow,Creep,Sejant,Mohawk (Green),Blood Moon,None,34.63019989762304,5480
5481,Grey,None,Relaxed,Mouse,None,Green,Skull,Crustant,Ranger,None,None,12.01551225063042,5481
5482,Blue,None,Divit,Cat,Gym (Crusty),Green,Creep,Passant,Dancing Flame,None,None,27.98418007167538,5482
5483,Green,Hoodie,Side-eye,Mutant Toad,Socks (Pellet),Green,Mouse,Rampant,None,None,None,51.771456696636065,5483
5484,Red,None,Twinkle,Bat,None,Blue,Creep,Passant,Elon,None,None,16.727360640684974,5484
5485,Grey,None,Suspicious,Toad ,Hightops (Blue),Pink-ish,None,Sejant,Mohawk (Green),None,None,32.662382802712855,5485
5486,Pink,None,Angry,Cat,Socks (Classic),Yellow,Creep,Sejant,None,None,None,19.467908194764043,5486
5487,Red,Jean Jacket,Relaxed,Rabbit,Slipons (White),Pink-ish,Creep,Passant,Halo,None,None,49.693859022903425,5487
5488,Black,None,Eclipse,Toad ,None,Purple,None,Sejant,Mohawk (Green),None,None,16.530570470076135,5488
5489,Black,None,Suspicious,Toad ,None,Pink,None,Crustant,Fire,None,None,18.718394771766658,5489
5490,Purple,None,Discerning,Mouse,None,Blue,Creep,Sejant,Fire,None,None,11.004804826551025,5490
5491,Cyborg,Hoodie Down,Stirring,Cat,Socks (Floppy),Pink-ish,None,Statant,Ranger,None,None,61.19655663166274,5491
5492,White,None,Suspicious,Toad ,Socks (Dirty),Green,None,Statant,Lincoln,None,None,30.70054533568532,5492
5493,Black,None,None,Rabbit,Hightops (Red),Yellow,Flesh,Rampant,None,Gazelles,None,36.96052162225288,5493
5494,Black,None,Divit,Lizard,None,Green,Flesh,Crustant,Headphones,None,None,15.368738400104732,5494
5495,Black,None,Side-eye,Bug,Hightops (Blue),Yellow,Flesh,Passant,None,None,None,19.527343769431482,5495
5496,Blue,None,Side-eye,Bat,None,Purple,Flesh,Crustant,None,None,None,6.926434886081127,5496
5497,Blue,None,None,Bird,Hightops (Blue),Pink,Creep,Passant,None,Sunglasses,None,42.34638499970958,5497
5498,Ruby Skeleton,None,None,Fish,Hightops (Green),Purple,None,Crustant,Witch's Hat,None,None,31.079005502445114,5498
5499,Metal,None,None,Rat,None,Yellow,None,Crustant,Blood Moon Hat,None,None,15.761620473245882,5499
5500,Purple,None,Discerning,Rabbit,None,Yellow,Creep,Rampant,Bow (Blue),None,None,10.912682493425812,5500
5501,Purple,None,Relaxed,Bat,Hightops (Grey),Blue,Skull,Rampant,None,None,None,21.385279951913542,5501
5502,Blue,Gold Grill,Eclipse,Toad ,Hightops (Grey),Purple,None,Statant,Halo,None,None,53.89318266359032,5502
5503,Pink,None,Angry,Fish,Socks (Pellet),Yellow,Skull,Sejant,Halo,None,None,28.85214240009777,5503
5504,White,None,None,Toad ,Hightops (Green),Pink,None,Sejant,None,3D,None,44.52492674772445,5504
5505,Pink,None,Suspicious,Toad ,Hightops (Grey),Purple,None,Passant,Fire,None,None,31.6041471834598,5505
5506,Pink,None,Discerning,Rabbit,Hightops (Red),Purple,Creep,Rampant,None,Monocle,None,41.12486931149533,5506
5507,Black,None,Suspicious,Toad ,None,Yellow,None,Passant,Durag,None,None,16.5900342873302,5507
5508,White,None,Eclipse,Toad ,Hightops (Blue),Purple,None,Sejant,Captain's Cap,None,None,31.03644958471607,5508
5509,Black,None,Eclipse,Toad ,Socks (Floppy),Green,None,Rampant,Lincoln,None,None,30.400311228126185,5509
5510,Grey,None,Suspicious,Toad ,Slipons (White),Pink-ish,None,Passant,Beanie (Green),None,None,33.05475053011302,5510
5511,Grey,Jean Jacket,Diamond,Mouse,None,Pink,Creep,Sejant,None,None,None,31.078169822314706,5511
5512,Black,None,Discerning,Rat,Socks (Dirty),Purple,Skull,Rampant,Croissant,None,None,26.364110468017415,5512
5513,Purple,None,Void,Rabbit,None,Yellow,Skull,Statant,Oddities Hat,None,None,11.325922648525532,5513
5514,Red,None,Orb,Bird,Slipons (White),Pink,Creep,Statant,None,None,None,22.53271693740364,5514
5515,Skeleton,None,Angry,Cat,None,Pink,Skull,Crustant,Bucket Hat,None,None,17.85983251807628,5515
5516,Red,Jean Jacket,None,Cat,Hightops (Green),Grey,Flesh,Rampant,Diamond,Patch,None,69.76445480885474,5516
5517,Red,None,None,Mouse,Hightops (Grey),Grey,Creep,Sejant,Bow (Pink),Jobs Glasses,None,45.143279831239056,5517
5518,Black,Jean Jacket,Side-eye,Rabbit,None,Yellow,Skull,Passant,Wizard's Hat,None,None,33.96425620327095,5518
5519,Grey,None,Angry,Rat,Slipons (Grey),Purple,Creep,Statant,Queen's Crown,None,None,25.56446281815517,5519
