,Mouth,Clothes,Eyes,Fur,Background,Hat,Earring,Name,Rarity score,Token Id
11215,M1 Phoneme Oh,M1 Kings Robe,M1 Sleepy,M1 Tan,M1 Orange,M1 Army Hat,M1 Silver Hoop,None,84.06865824551963,12486
11216,M1 Bored Cigarette,M1 Lumberjack Shirt,M1 Eyepatch,M1 Brown,M1 Blue,M1 Bayc Flipped Brim,M1 Silver Stud,None,80.12671829108602,12488
11217,M1 Bored Unshaven,M1 Guayabera,M1 Bored,M1 Black,M1 Blue,M1 Vietnam Era Helmet,None,None,28.0492943326514,12490
11218,M1 Bored Dagger,M1 Smoking Jacket,M1 Wide Eyed,M1 Brown,M1 Gray,M1 Bayc Hat Red,None,None,41.30543458015731,12492
11219,M2 Bored Dagger,M2 Smoking Jacket,M2 Wide Eyed,M2 Brown,M2 Gray,M2 Bayc Hat Red,None,None,52.911083713380314,12493
11220,M1 Grin,M1 Vietnam Jacket,M1 Bored,M1 Cream,M1 Blue,None,M1 Gold Stud,None,65.50476365596927,12494
11221,M2 Bored,M2 Wool Turtleneck,M2 Zombie,M2 Brown,M2 New Punk Blue,None,M2 Silver Stud,None,80.21025250094738,12497
11222,M1 Dumbfounded,M1 Black Holes T,M1 Closed,M1 Blue,M1 New Punk Blue,M1 Seaman's Hat,None,None,40.89785622626605,12498
11223,M2 Dumbfounded,M2 Lab Coat,M2 Cyborg,M2 Cheetah,M2 Aquamarine,M2 Bayc Flipped Brim,None,None,53.92331861751649,12501
11224,M1 Phoneme L,M1 Tuxedo Tee,M1 Sleepy,M1 Dmt,M1 Yellow,M1 Cowboy Hat,None,None,42.992504299772136,12502
11225,M1 Bored Unshaven,M1 Admirals Coat,M1 Bored,M1 Brown,M1 Purple,M1 Irish Boho,M1 Gold Hoop,None,71.59468802982151,12504
11226,M1 Bored Unshaven Bubblegum,M1 Hawaiian,M1 Zombie,M1 Dark Brown,M1 Orange,None,None,None,27.95249436562724,12506
11227,M1 Phoneme Wah,M1 Leather Jacket,M1 Bored,M1 Pink,M1 Blue,M1 Safari,M1 Silver Hoop,None,80.2369638830458,12510
11228,M1 Phoneme Wah,M1 Prison Jumpsuit,M1 Bored,M1 Dmt,M1 Blue,M1 Seaman's Hat,None,None,38.70633411155293,12512
11229,M2 Phoneme Wah,M2 Prison Jumpsuit,M2 Bored,M2 Dmt,M2 Blue,M2 Seaman's Hat,None,None,51.992381077254876,12513
11230,M1 Bored Cigarette,M1 Toga,M1 Sad,M1 Dark Brown,M1 New Punk Blue,None,None,None,24.28764964060234,12514
11231,M1 Bored Kazoo,M1 Lab Coat,M1 Bored,M1 Dark Brown,M1 Army Green,None,None,None,21.97250352431003,12516
11232,M1 Bored,M1 Stunt Jacket,M1 Sad,M1 Red,M1 Army Green,M1 Beanie,None,None,32.52593667571511,12518
11233,M1 Bored,M1 Sailor Shirt,M1 Crazy,M1 Black,M1 New Punk Blue,M1 Army Hat,M1 Silver Hoop,None,71.85192517209641,12520
11234,M2 Bored,M2 Sailor Shirt,M2 Crazy,M2 Black,M2 New Punk Blue,M2 Army Hat,M2 Silver Hoop,None,94.19732443034786,12521
11235,M1 Bored Unshaven,None,M1 Bloodshot,M1 Noise,M1 Gray,M1 Seaman's Hat,M1 Silver Stud,None,67.6795177517985,12522
11236,M1 Phoneme L,M1 Toga,M1 Angry,M1 Cream,M1 Aquamarine,M1 Prussian Helmet,None,None,43.98469833869307,12526
11237,M1 Bored,M1 Smoking Jacket,M1 Sleepy,M1 Red,M1 Blue,M1 Bowler,None,None,32.71636356040645,12528
11238,M1 Bored,M1 Puffy Vest,M1 Crazy,M1 Black,M1 New Punk Blue,None,None,None,17.910099076764048,12530
11239,M2 Bored,M2 Puffy Vest,M2 Crazy,M2 Black,M2 New Punk Blue,None,None,None,36.11729496870092,12531
