,Number,Drip Grade,Core,Drip Score,Neck,Hair,Shirt,Eye Color,Eyes,Race,Background,Hat,Face Decoration,Glasses,Necklace,Earring,Rarity score,Token Id
157,157,normal,lolita,20,None,tuft green,peter pan collar shirt,blue,classic,clay,bushland,None,star heart tattoo,None,None,chrome cross,30.823986996877128,157
158,158,b-drip,harajuku-gyaru,33,None,short pink,leopard vest,green,sleepy,clay,casino,denim fish cap,None,None,None,None,16.004206434077968,158
159,159,c-drip,lolita-gyaru,28,None,braid green,jesus tank,green,teary,pale,harajuku,pink bow,None,None,None,None,15.937128288309523,159
160,160,b-drip,prep-gyaru,32,None,og blue,leopard polo,brown,classic,pale,sunset,plaid bonnet,None,mottega sunglasses blue,None,None,27.886927542645267,160
161,161,normal,prep,18,lean neck tattoo,tuft green,kogal cardigan,blue,classic,pale,sunrise,None,None,None,None,None,19.327739444074947,161
162,162,b-drip,lolita-prep,32,None,short green,bear sweater,blue,smug,pale,sunset,maid hat,teardrops tattoo,cobain glasses,None,None,46.74191660280721,162
163,163,c-drip,gyaru,26,None,tuft green,mwo shirt,blue,dilated,pink,yashima,None,teardrops tattoo,None,None,chain earrings,34.72176932172514,163
164,164,normal,prep,18,None,bowl slate,black blazer,gold,crying,pink,sonora,None,None,None,None,None,12.710101501103846,164
165,165,normal,hypebeast,20,None,tuft green,maf creeper,blue,crying,pale,sunrise,None,teardrops tattoo,None,None,None,19.238069169578605,165
166,166,b-drip,lolita-prep,31,None,bowl purple,ulzzang coat,brown,smug,pink,sunset,pink bonnet,None,None,None,None,17.430196203549883,166
167,167,ss-drip,harajuku,48,None,bowl black,zip polo,grey,classic,pink,clouds,fez,None,None,fliphone lanyard,None,42.11331472113638,167
168,168,c-drip,harajuku,27,None,bowl purple,cardigan tee,aqua,classic,pale,sunset,None,None,None,silver coin necklace,dual rings gold,40.567707582663544,168
169,169,normal,gyaru,20,None,short blue,special people shirt,blue,sparkle,pink,tennis,None,None,None,None,None,3.960769974578688,169
170,170,normal,hypebeast,20,None,short green,red puffer,green,closed,clay,harajuku,None,None,None,None,None,7.095402902502412,170
171,171,b-drip,lolita,32,None,tuft blue,pink coat,green,sleepy,pink,mountain,None,None,cobain glasses,None,None,22.24336316267376,171
172,172,b-drip,hypebeast,32,None,braid black,red puffer,green,dilated,pink,train,treeprint bucket,None,None,None,None,14.389821532705117,172
173,173,b-drip,hypebeast,30,None,short orange,meedles tracksuit,brown,teary,pale,clouds,None,None,None,None,strawberry earring,20.601972007348255,173
