,Hats,Mouth,Eyes,Clothes,Body,Background,1 of 1,Rarity score,Token Id
262,Gumball,Aw man,Pacman,Tan Dice Hoodie,OLU,Blue,None,30.167312010985846,262
263,Rainy Day,Baby Tooth,xxx Flat,Blue Running Jacket,Femi,Blue,None,15.540936021900439,263
264,Party Ears,Wow,Night Owl,Hi Tee,Xenos,Dark Mint,None,14.056219359911676,264
265,Park Hat,Baby Tooth,xxx Flat,Pilot,Lochias,Yellow,None,19.826309235519762,265
266,Park Hat,Meh,Adorable,Dark Fren Tee,Lochias,Pink,None,15.942459632877211,266
267,Nacho Cheese,Aw man,Night Owl,White Tank,Femi,Pink,None,13.538249926412607,267
268,Rainy Day,Brown Beard,xxx Future,Ninja Knight,Femi,Baby Blue,None,20.571491069653344,268
269,Red Beanie,Friendly,Dazed,Yellow Jacket,OLU,Yellow,None,26.167263920129802,269
270,Ninja Yellow,Baby Tooth,Peek a Boo,Pilot,OLU,Orange,None,25.147407278442273,270
271,Sweatband,Oh No,Angry,Cowboy,Xenos,Orange,None,11.09703469874397,271
272,Pilot,Goo,Angry,Cowboy,Xenos,Mint,None,4.2274909171830055,272
273,Nacho Cheese,Goo,Luv,White GM Sweater,Lochias,Red,None,22.547681384314192,273
274,Ninja Dark,Sad,Happy,Waldo,Xenos,Mint,None,6.7903920377574645,274
275,Ninja Master,Oh No,Dazed,Dotted Tee,Xenos,Green Camo,None,13.844847140226355,275
276,Horns,Gangzter,Happy,Mint Sweater,OLU,Baby Blue,None,27.916284113732708,276
277,Cyclone Ears,Cowboy,Glasses,Old School,Femi,Pink,None,15.38245442141081,277
278,Ninja Dark,Baby Tooth,Luv,White GM Tee,Xenos,Pink,None,8.259406986049711,278
279,Ninja Master,Baby Tooth,Adorable,Hi Tee,OLU,Pink,None,20.185648561473965,279
280,Sunflower,Black Beard,Gummy Worms,Red Tank,Xenos,Mint,None,10.399575819328067,280
