,Stamina,Special Set,Pet,Mask,Clothes,Eyes,Mouth,Antenna,Skin,Background,Class,Rarity score,Token Id
2327,900.4,None,None,None,None,Party-Shades,Surprised,Gel-Purple,White,Carolina,Common,2.59530273979676,2327
2328,1531.22,None,None,None,None,Zebra-Shades,Smoke,Nerd,Hollow-Swirley-Angel,Pink-Clouds,Rare,15.157498347121434,2328
2329,945.84,None,None,None,None,Inspector-Lense,Flabber,Pretty-Ribbon-Pink,Rose,Ruby-Fiddle,Common,5.24527712840181,2329
2330,931.82,None,None,None,None,Innocent-Lashes,Blue-Gum,Mohawk-Red,Rose,Flamingo,Common,4.387433377752357,2330
2331,1550.63,None,None,None,None,Funky-Apple,Intense,Gel-Blue,Hollow-Pineapple,Carolina,Rare,15.86303369423031,2331
2332,916.21,None,None,None,None,Potters,Yellow-Gum,Gel-Pink,Silver,Puce-Fiddle,Common,3.4321791890466717,2332
2333,971.46,None,None,None,None,Badboi-Shades,Silence,Bandana-Green,Red,Salmon-Fiddle,Common,6.722179458133237,2333
2334,903.4,None,None,None,None,In-Love,Rose-Swag,Messy-Blue,White,Flamingo,Common,2.8449258882058674,2334
2335,1526.61,None,None,None,None,None,None,Cap-Purple,Dead-Fish-Collage,Mauve,Rare,14.733142994979323,2335
2336,888.38,None,None,None,None,Badboi-Shades,Drooling,Golden-Halo,White,Mauve,Common,1.8679177757569947,2336
2337,1511.62,None,None,None,None,None,None,Pineapple-Fro,Bored-Fish-Collage,Cider,Rare,14.74393289287372,2337
2338,1536.22,None,None,None,None,Badboi-Shades,Fangs,Pointed-Beanie-Yellow,Gumball,Grey-Clouds,Rare,15.287765804588805,2338
2339,903.21,None,None,None,None,Rainbow-Shades,Fangs,Rabbit-White,Silver,Grizzle,Common,2.8567634617965583,2339
2340,3826.03,None,None,Lucy,None,None,None,Pineapple-Fro,Hollow-Poison,Grey,Elite,46.68401925164833,2340
2341,913.21,None,None,None,None,Badboi-Shades,Blue-Gum,Mohawk-Purple,Silver,Powder,Common,3.3127495675487513,2341
2342,1535.42,None,None,None,None,Banana-Shades,Silence,Beanie-Pink,Hollow-Swirley-Angel,Carolina,Rare,15.39631838333543,2342
2343,912.61,None,None,None,None,Spaced-Out,Surprised,Flower-Purple,White,Worldly-Fiddle,Common,3.5724847816135643,2343
2344,1545.03,None,None,None,None,Pandas,Fangs,Pretty-Ribbon-Pink,Hollow-Swirley,Moss,Rare,15.743591028176038,2344
2345,1523.22,None,None,None,None,Party-Shades,Tiny-Tongue,Yellow-Lemon,Hollow-Collage,Green-Clouds,Rare,14.75567118571281,2345
2346,925.61,None,None,None,None,Star-Gazer,Ogre,Cap-Black,Silver,Teal,Common,4.13825799301116,2346
2347,926.22,None,None,None,None,Wishful,Pipe,Gel-Red,White,Attitude,Common,3.9744598616533495,2347
2348,1527.02,None,None,None,None,Rainbow-Shades,Krooked-Smile,Rabbit-Brown,Hollow-Leopard,Mint,Rare,14.658091155055553,2348
2349,881.79,None,None,None,None,Wishful,Rainbow-Puke,Pineapple-Fro,White,Mauve,Common,2.573896507827028,2349
2350,915.61,None,None,None,None,Potters,Flabber,Cap-Red,White,Green-Clouds,Common,3.5942866720633835,2350
2351,953.65,None,None,None,None,In-Love,Krooked-Smile,Flower-Hat-Blue,Purple,Green-Clouds,Common,5.983834828740907,2351
2352,909.0,None,None,None,None,Spaced-Out,Ogre,Cap-Purple,White,Carolina,Common,3.2252860047727503,2352
2353,890.4,None,None,None,None,Zebra-Shades,Rude-Tongue,Sunday-Hat-Blue,White,Mint-Fiddle,Common,2.3347591276440007,2353
2354,1533.41,None,None,None,None,None,None,Gel-Blue,Hollow-Bored-Fish-Angel-Rose,Mauve,Rare,14.917673690699743,2354
2355,983.26,None,None,None,None,Adorable,Dope,Sunday-Hat-Blue,Blue,Blue-Clouds,Common,7.373699309439494,2355
2356,919.42,None,None,None,None,Party-Shades,Mr-Mustache,Pointed-Beanie-Pink,Rose,Air-Force-Fiddle,Common,3.7469600913021783,2356
2357,919.41,None,None,None,None,Funky-Apple,Rude-Tongue,Emo-Red,Rose,Teal,Common,3.681845849786484,2357
2358,1536.42,None,None,None,None,Goof,Surprised,Nerd,Hollow-Pineapple-Angel,Pigeon,Rare,15.461715070128527,2358
2359,968.46,None,None,None,None,Party-Shades,Drooling,Cap-Purple,Green,Mint,Common,6.450784921063697,2359
2360,1523.21,None,None,None,None,Goof,Drooling,Beanie-Black,Hollow-Pineapple,Electric,Rare,14.668959419656494,2360
2361,1539.42,None,None,None,None,Shocking,Pipe,Nerd,Rainbow,Blue-Clouds,Rare,15.602850810482549,2361
2362,1544.04,None,None,None,None,Rainbow-Shades,Big-Smile,Party-Time,Rainbow,Moss,Rare,15.667756406690561,2362
2363,881.99,None,None,None,None,Zebra-Shades,Kissy-Lips,Yellow-Lemon,White,Puce,Common,1.9656585319927466,2363
2364,1535.42,None,None,None,None,Wishful,Smoke,Princess,Hollow-Swirley-Angel,Blue-Clouds,Rare,15.50494055308938,2364
2365,1533.82,None,None,None,None,None,None,Chef,Hollow-Dead-Fish-White,Flamingo,Rare,15.210991757045827,2365
2366,941.83,None,None,None,None,Blue-Puppies,Stressed,Flower-Pink,Rose,Air-Force,Common,5.212885301139737,2366
2367,905.0,None,None,None,None,In-Love,Dope,Egg-Holder,White,Periwinkle,Common,2.8016092185685766,2367
2368,1537.63,None,None,None,None,Rainbow-Shades,Displeased,Pirate-Feather,Hollow-Black-Angel,Apricot,Rare,15.255104406876363,2368
2369,931.02,None,None,None,None,Football-Lemon,Rude-Tongue,Captain,Rose,Grey-Clouds,Common,4.51784868852758,2369
2370,901.8,None,None,None,None,Spaced-Out,Happy-Fangs,Captain,White,Coin,Common,2.9320070538551275,2370
2371,1523.41,None,None,None,None,None,None,Flower-Hat-Blue,Bored-Fish-Angel-Collage,Blue-Clouds,Rare,14.885242719302441,2371
2372,1519.81,None,None,None,None,WTF,Yellow-Gum,Cap-White,Hollow-Swirley,Salmon-Fiddle,Rare,14.3756196297616,2372
2373,1518.82,None,None,None,None,Badboi-Shades,Interesting,Pineapple-Fro,Hollow-Golden Angel,Grizzle,Rare,15.13585734673131,2373
2374,1529.41,None,None,None,None,Party-Shades,Flabber,French-Influence,Hollow-Pineapple-Angel,Teal,Rare,14.864306376579506,2374
2375,1510.42,None,None,None,None,Goof,Stressed,Pineapple-Fro,Hollow-Golden,Air-Force,Rare,14.679975503595365,2375
2376,1556.03,None,None,None,None,Blue-Puppies,Tiny-Tongue,Pretty-Ribbon-Red,Hollow-Collage,Periwinkle,Rare,16.340847727304432,2376
2377,909.21,None,None,None,None,Badboi-Shades,Rose-Swag,Cop,Silver,Teal,Common,3.323704846405087,2377
2378,898.2,None,None,None,None,Goof,Rude-Tongue,Spikes-Green,White,Grey,Common,2.3675508405741192,2378
2379,3863.84,None,Red-Panda,None,None,Spaced-Out,Smoke,None,Hollow-Golden,Worldly,Elite,47.91099382820459,2379
2380,896.8,None,None,None,None,Party-Shades,Drooling,Beanie-Pink,Silver,Blue-Clouds,Common,2.7589966373052404,2380
2381,1506.61,None,None,None,None,Badboi-Shades,Yellow-Gum,Princess,Hollow-Pineapple,Prussian,Rare,13.95204278752707,2381
2382,972.25,None,None,None,None,Pandas,Ogre,Bandana-Green,Red,Blue-Clouds,Common,6.776486120025262,2382
2383,897.2,None,None,None,None,Goof,Pipe,Pirate-Feather,White,Blue-Clouds,Common,2.530323294010009,2383
2384,932.23,None,None,None,None,Goof,Pipe,Stylish-Pink,Rose,Powder,Common,4.257604950148411,2384
2385,888.39,None,None,None,None,Party-Shades,Yellow-Gum,Top-Hat-Grey,Rose,Flamingo,Common,2.096491070646493,2385
2386,1536.21,None,None,None,None,Pandas,Blue-Gum,Pointed-Beanie-Pink,Hollow-Black,Puce,Rare,15.222603800005574,2386
2387,933.62,None,None,None,None,Innocent-Lashes,Rose-Swag,Princess,Silver,Flamingo,Common,4.865421251517716,2387
